Track URI;Track Name;Artist URI(s);Artist Name(s)
spotify:track:2ZGFYsDWwjU0BBvVAw6js9;The Lily - Piano Version;spotify:artist:1vYrIm6O7VtBGszIWe75mB;Gabríel Ólafs
spotify:track:1AMLAzWVTQpCN0Lz9JdZe4;A Daydream in Camelot;spotify:artist:25s9H1JQmTu3iuFzpXWUIg;Stephan Moccio
spotify:track:3qLZnIVAiGexuNuG8Aptrq;By the Still Waters, Op. 114;spotify:artist:1QeC5GwDENQv78O3PCLeZB, spotify:artist:7FEzSfCBSOo0wAmdk9pQ6M;Amy Beach, Isata Kanneh-Mason
spotify:track:1XJMRdFSgkrmw2cXLJOD0b;3 Visions: No. 2, Summerland;spotify:artist:0KkJoXozXmbRdmpy7zCmYA, spotify:artist:7wJT2nMGzUmQQLSIHbDaXU;William Grant Still, Bruce Levingston
spotify:track:4SndSEWWh1uaiU6HyvQHHH;Hymne à l'amour (Arr. Dyens for Guitar);spotify:artist:1du2ve2XIWYeHHamxUT4cC, spotify:artist:54UqAWfr4SIdCc5xBapeMM;Marguerite Monnot, Alexandra Whittingham
spotify:track:0tYuVSs2DqXhtXT4JzDWSt;On the Nature of Daylight - Orchestral Version;spotify:artist:2VZNmg4vCnew4Pavo8zDdW, spotify:artist:0NRmJjd0MVItn17pbeWY6k;Max Richter, Lorenz Dangel
spotify:track:7q1GK2Pb7ew5BNUTRYrUdr;"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto";spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:23G1DjI5kQBbjOaLbUONgK;Ludwig van Beethoven, Steven Osborne
spotify:track:6ZT2omWWJQAc0jtup5gvy5;Piano Concerto in A Minor, Op. 7: II. Romanze. Andante non troppo con grazia;spotify:artist:2yzaWNFV3cxmcRZtwtr5WC, spotify:artist:1KJQ9mUdpAJtljNQWH5Rvq, spotify:artist:0oEjQvt6t6QidTuJ2Y9Nvt, spotify:artist:09KZU0NsS7jRa5p0SflmGY;Clara Schumann, Alexandra Dariescu, Tianyi Lu, Philharmonia Orchestra
spotify:track:0bCSGdS5SRvzoz4IBTD55W;Losar;spotify:artist:2VKfXEWzhUi9siHBDTI02Y;Joep Beving
spotify:track:1wmmMQrhjOVK7dIyn1OgUT;Berceuse, Op. 16;spotify:artist:2gClsBep1tt1rv1CN210SO, spotify:artist:1KH9u201pXo6g9cXxNZo12, spotify:artist:3lXWyaM9oLk5FdLhBAIHqJ;Gabriel Fauré, Laurent Wagschal, Ji-Yoon Park
spotify:track:2zM7Ato6xDOi8ten4qn7Cm;Natural Light;spotify:artist:2uFUBdaVGtyMqckSeCl0Qj;Ludovico Einaudi
spotify:track:308fmwi0Y8ULBSzthdhooI;Stille Musik: III. Augenblicke der Serenade;spotify:artist:1bauOA5U5M3RwH2euX3Eq6;Valentin Silvestrov
spotify:track:6NKrz1n8qHb2a2ZrKnzBCb;Sinfonia (3-Part Invention) No. 11 in G Minor, BWV 797 (Transcr. for Harp);spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6Rq4dclwT2EHEG8lhvWqBT;Johann Sebastian Bach, Magdalena Hoffmann
spotify:track:2S4CBHdoNjOuxItsfYaUEu;PROLOGUE (Quasi Niente from Piano Sonata No. 1 in F Minor, Op. 6: IV. Funebre) - Upright Version;spotify:artist:6nZiWg5ZB511S24WmB7TCV, spotify:artist:5Tp2SqEkbc2n6anNqNw5dE;Alexander Scriabin, Julius Asal
spotify:track:06vaPTVwFkFxCzmJDXlfx5;A Little Book of Hours: VI. Singing Sun;spotify:artist:31rgljsVrzeRFFnJXOYq5J, spotify:artist:2Jhg4utIpCsER3JKSUnF7F;Peter Sculthorpe, Elena Riu
spotify:track:2aWm6k9oNgtqJVq61KlANg;Pohjola (Arr. for Strings by Carlos Hof);spotify:artist:5OdOZHljmANwGvN71E6KJm;A. Blomqvist
